id first_aa_of_tp
PF3D7_0819200.1 16
PF3D7_0819400.1 24
PF3D7_0822700.1 25
PF3D7_0827900.1 27
PF3D7_0828800.1 22
PF3D7_0829600.1 25
PF3D7_0830300.1 22
PF3D7_0830400.1 26
PF3D7_0831600.1 25
PF3D7_0831700.1 25
PF3D7_0832000.1 20
PF3D7_0832400.1 22
PF3D7_0832500.1 22
PF3D7_0832600.1 20
PF3D7_0832900.1 25
PF3D7_0833000.1 21
PF3D7_0833100.1 22
PF3D7_0833200.1 22
PF3D7_0833400.1 23
PF3D7_0900200.1 23
PF3D7_0900300.1 27
PF3D7_0900500.1 25
PF3D7_0900600.1 23
PF3D7_0900700.1 23
PF3D7_0900900.1 20
PF3D7_0901000.1 25
PF3D7_0901100.1 23
PF3D7_0901400.1 21
PF3D7_0901500.1 21
PF3D7_0901600.1 27
PF3D7_0901700.1 27
PF3D7_0902000.1 27
PF3D7_0902200.1 20
PF3D7_0902400.1 17
PF3D7_0902500.1 19
PF3D7_0902600.1 25
PF3D7_0903800.1 21
PF3D7_0904200.1 21
PF3D7_0905400.1 25
PF3D7_0908000.1 39
PF3D7_0911300.1 21
PF3D7_0911900.1 22
PF3D7_0916100.1 29
PF3D7_0917900.1 25
PF3D7_0918000.1 26
PF3D7_0919400.1 30
PF3D7_0919500.1 20
PF3D7_0923300.1 24
PF3D7_0929400.1 20
PF3D7_0930300.1 20
PF3D7_0935800.1 24
PF3D7_0936100.1 25
PF3D7_0936200.1 22
PF3D7_0936500.1 33
PF3D7_0937000.1 29
PF3D7_0937300.1 27
PF3D7_0937400.1 26
PF3D7_1000300.1 24
PF3D7_1000500.1 23
PF3D7_1000600.1 22
PF3D7_1001000.1 25
PF3D7_1001400.1 25
PF3D7_1001500.1 27
PF3D7_1001700.1 22
PF3D7_1012200.1 23
PF3D7_1016900.1 25
PF3D7_1017100.1 25
PF3D7_1017300.2 27
PF3D7_1022300.1 19
PF3D7_1028700.1 23
PF3D7_1030200.1 33
PF3D7_1031000.1 23
PF3D7_1032500.1 36
PF3D7_1033200.1 25
PF3D7_1035200.1 24
PF3D7_1035300.1 24
PF3D7_1035400.1 26
PF3D7_1035500.1 17
PF3D7_1035700.1 26
PF3D7_1036000.1 27
PF3D7_1036300.1 33
PF3D7_1039700.1 21
PF3D7_1039800.1 24
PF3D7_1039900.1 17
PF3D7_1040000.1 24
PF3D7_1040100.1 25
PF3D7_1040200.1 27
PF3D7_1040300.1 23
PF3D7_1040400.1 25
PF3D7_1040500.1 23
PF3D7_1040600.1 27
PF3D7_1040700.1 19
PF3D7_1040800.1 20
PF3D7_1040900.1 27
PF3D7_1041000.1 20
PF3D7_1041100.1 24
PF3D7_1100400.1 22
PF3D7_1100500.1 25
PF3D7_1100800.1 19
PF3D7_1101200.1 25
PF3D7_1101300.1 22
PF3D7_1101500.1 17
PF3D7_1101600.1 24
PF3D7_1101700.1 21
PF3D7_1101800.1 16
PF3D7_1102300.1 24
PF3D7_1102700.1 22
PF3D7_1102800.1 31
PF3D7_1105600.1 20
PF3D7_1108600.1 27
PF3D7_1108700.1 34
PF3D7_1115600.1 22
PF3D7_1115900.1 25
PF3D7_1116000.1 24
PF3D7_1116700.1 28
PF3D7_1116800.1 27
PF3D7_1121600.1 23
PF3D7_1124000.1 23
PF3D7_1127500.1 20
PF3D7_1129100.1 22
PF3D7_1133400.1 25
PF3D7_1134100.1 24
PF3D7_1136200.1 19
PF3D7_1136900.1 19
PF3D7_1141600.1 23
PF3D7_1147800.1 21
PF3D7_1148700.1 27
PF3D7_1149300.1 25
PF3D7_1149800.1 23
PF3D7_1149900.1 22
PF3D7_1150000.1 24
PF3D7_1150200.1 22
PF3D7_1200200.1 23
PF3D7_1200300.1 22
PF3D7_1200500.1 21
PF3D7_1200800.1 33
PF3D7_1201000.1 20
PF3D7_1201300.1 25
PF3D7_1206000.1 27
PF3D7_1208200.1 59
PF3D7_1212500.1 19
PF3D7_1216500.1 23
PF3D7_1216600.1 25
PF3D7_1218000.1 25
PF3D7_1222300.1 29
PF3D7_1228600.1 24
PF3D7_1240100.1 25
PF3D7_1244500.1 27
PF3D7_1250100.1 20
PF3D7_1252100.1 22
PF3D7_1252200.1 25
PF3D7_1253000.1 19
PF3D7_1253400.1 23
PF3D7_1253700.1 24
PF3D7_1254000.1 23
PF3D7_1254100.1 22
PF3D7_1254200.1 23
PF3D7_1254300.1 22
PF3D7_1254400.1 23
PF3D7_1254500.1 20
PF3D7_1254600.1 22
PF3D7_1255000.1 28
PF3D7_1300500.1 22
PF3D7_1300600.1 28
PF3D7_1300700.1 22
PF3D7_1300900.1 20
PF3D7_1301400.1 26
PF3D7_1301600.1 26
PF3D7_1301700.1 25
PF3D7_1302200.1 21
PF3D7_1311800.1 23
PF3D7_1320000.1 20
PF3D7_1322000.1 35
PF3D7_1323500.1 34
PF3D7_1334300.1 22
PF3D7_1334400.1 22
PF3D7_1334500.1 23
PF3D7_1334600.1 21
PF3D7_1334700.1 28
PF3D7_1334800.1 24
PF3D7_1335000.1 22
PF3D7_1335100.1 28
PF3D7_1335900.1 26
PF3D7_1338800.1 23
PF3D7_1340000.1 23
PF3D7_1340900.1 27
PF3D7_1341600.1 42
PF3D7_1342500.1 22
PF3D7_1344200.1 19
PF3D7_1345100.1 24
PF3D7_1346700.1 28
PF3D7_1346800.1 27
PF3D7_1353600.1 30
PF3D7_1364100.1 27
PF3D7_1371700.1 42
PF3D7_1372100.1 18
PF3D7_1372300.1 26
PF3D7_1372700.1 22
PF3D7_1372800.1 20
PF3D7_1373300.1 27
PF3D7_1373400.1 23
PF3D7_1400200.1 22
PF3D7_1400300.1 25
PF3D7_1400400.1 22
PF3D7_1400500.1 26
PF3D7_1400700.1 18
PF3D7_1400800.1 25
PF3D7_1401200.1 22
PF3D7_1401400.1 27
PF3D7_1404300.1 20
PF3D7_1404900.1 28
PF3D7_1406300.1 17
PF3D7_1407000.1 23
PF3D7_1410400.1 23
PF3D7_1418100.1 22
PF3D7_1420700.1 23
PF3D7_1422500.1 18
PF3D7_1430200.1 40
PF3D7_1436300.1 21
PF3D7_1439000.1 21
PF3D7_1444300.1 36
PF3D7_1448400.1 29
PF3D7_1449000.1 21
PF3D7_1452000.1 21
PF3D7_1454400.1 25
PF3D7_1455800.1 25
PF3D7_1456800.1 16
PF3D7_1463900.1 23
PF3D7_1464600.1 17
PF3D7_1468500.1 30
PF3D7_1469200.1 24
PF3D7_1471100.1 22
PF3D7_1472600.1 20
PF3D7_1475400.1 20
PF3D7_1475500.1 20
PF3D7_1476100.1 22
PF3D7_1476300.1 22
PF3D7_1476600.1 25
PF3D7_1477100.1 33
PF3D7_1477200.1 19
PF3D7_1477400.1 24
PF3D7_1478100.1 19
PF3D7_1479000.1 28
PF3D7_1479400.1 25
PF3D7_1479500.1 22
PF3D7_1479600.1 23
PF3D7_1479800.1 25
PF3D7_1479900.1 20
PF3D7_1480000.1 21
