id first_aa_of_tp
PF3D7_1037100.1 20
PF3D7_1103400.1 30
PF3D7_1106200.1 18
PF3D7_1106300.1 18
PF3D7_1106500.1 23
PF3D7_1114800.1 21
PF3D7_1117500.1 20
PF3D7_1120500.1 21
PF3D7_1124500.1 24
PF3D7_1126000.1 21
PF3D7_1144700.1 23
PF3D7_1145500.1 23
PF3D7_1205300.1 24
PF3D7_1205700.1 20
PF3D7_1207600.1 19
PF3D7_1209600.1 19
PF3D7_1212000.1 22
PF3D7_1212100.1 24
PF3D7_1216000.1 21
PF3D7_1217300.1 19
PF3D7_1220600.1 18
PF3D7_1221700.1 29
PF3D7_1221800.1 17
PF3D7_1223300.1 27
PF3D7_1225100.1 26
PF3D7_1228700.1 25
PF3D7_1229600.1 21
PF3D7_1232000.1 20
PF3D7_1232100.1 24
PF3D7_1234600.1 24
PF3D7_1239500.1 26
PF3D7_1244000.1 47
PF3D7_1244400.1 28
PF3D7_1251700.1 21
PF3D7_1304100.1 24
PF3D7_1304600.1 32
PF3D7_1305100.1 23
PF3D7_1306200.1 21
PF3D7_1307600.1 20
PF3D7_1308800.1 35
PF3D7_1312000.1 27
PF3D7_1313200.1 23
PF3D7_1313400.1 46
PF3D7_1318100.1 20
PF3D7_1318200.1 26
PF3D7_1320100.1 26
PF3D7_1323000.1 19
PF3D7_1323600.1 25
PF3D7_1329700.1 26
PF3D7_1332600.1 32
PF3D7_1333000.1 20
PF3D7_1333200.1 27
PF3D7_1337200.1 29
PF3D7_1338600.1 34
PF3D7_1343500.1 26
PF3D7_1344600.1 24
PF3D7_1345500.1 29
PF3D7_1350700.1 23
PF3D7_1351800.1 20
PF3D7_1352000.1 22
PF3D7_1357200.1 22
PF3D7_1358000.1 21
PF3D7_1358300.1 24
PF3D7_1363700.1 29
PF3D7_1364600.1 20
PF3D7_1367700.1 24
PF3D7_1369600.1 21
PF3D7_1405400.1 27
PF3D7_1406400.1 19
PF3D7_1406600.1 23
PF3D7_1409100.1 22
PF3D7_1411400.1 20
PF3D7_1411600.1 19
PF3D7_1411800.1 25
PF3D7_1413400.1 24
PF3D7_1413500.1 27
PF3D7_1416800.1 26
PF3D7_1419200.1 24
PF3D7_1419800.2 21
PF3D7_1420400.1 21
PF3D7_1427000.1 26
PF3D7_1428600.1 24
PF3D7_1429100.1 18
PF3D7_1430700.1 22
PF3D7_1433700.1 20
PF3D7_1436800.1 18
PF3D7_1437100.1 15
PF3D7_1440200.1 21
PF3D7_1440300.1 21
PF3D7_1443900.1 32
PF3D7_1446400.1 31
PF3D7_1452300.1 20
PF3D7_1467300.1 20
PF3D7_1469000.1 28
PF3D7_1469600.1 22
PF3D7_1470800.1 21
PF3D7_1472700.1 27
PF3D7_1472800.1 26
