id first_aa_of_tp
PF3D7_1029700.1 28
PF3D7_1030900.1 23
PF3D7_1031900.1 24
PF3D7_1033800.1 25
PF3D7_1034100.1 21
PF3D7_1034200.1 23
PF3D7_1035100.1 26
PF3D7_1035800.1 20
PF3D7_1035900.1 27
PF3D7_1036400.1 24
PF3D7_1038000.1 26
PF3D7_1038000.2 26
PF3D7_1103500.1 19
PF3D7_1104400.1 22
PF3D7_1105300.1 22
PF3D7_1105800.1 19
PF3D7_1105900.1 25
PF3D7_1106100.1 23
PF3D7_1112000.1 28
PF3D7_1115100.1 30
PF3D7_1117300.1 19
PF3D7_1118900.1 24
PF3D7_1119000.1 20
PF3D7_1120200.1 24
PF3D7_1121500.1 16
PF3D7_1121800.1 29
PF3D7_1122100.1 21
PF3D7_1122300.1 24
PF3D7_1122700.1 26
PF3D7_1123500.1 24
PF3D7_1125000.1 37
PF3D7_1127400.1 27
PF3D7_1128700.1 21
PF3D7_1131900.1 18
PF3D7_1132800.1 33
PF3D7_1133000.1 25
PF3D7_1133800.1 26
PF3D7_1133900.1 20
PF3D7_1135000.2 33
PF3D7_1135000.3 33
PF3D7_1135400.1 26
PF3D7_1136100.1 22
PF3D7_1137500.1 20
PF3D7_1140000.1 30
PF3D7_1143000.1 19
PF3D7_1143200.1 22
PF3D7_1146100.1 20
PF3D7_1147800.2 21
PF3D7_1149400.1 27
PF3D7_1200700.1 28
PF3D7_1201400.1 21
PF3D7_1201600.1 20
PF3D7_1204400.1 23
PF3D7_1204900.1 30
PF3D7_1207300.1 22
PF3D7_1207500.1 17
PF3D7_1207700.1 25
PF3D7_1208000.1 22
PF3D7_1210000.1 27
PF3D7_1213500.1 28
PF3D7_1214500.1 31
PF3D7_1214800.1 22
PF3D7_1215900.1 31
PF3D7_1216400.1 22
PF3D7_1216700.1 26
PF3D7_1218100.1 28
PF3D7_1218800.1 21
PF3D7_1221100.1 20
PF3D7_1222000.1 21
PF3D7_1226900.1 23
PF3D7_1229300.1 20
PF3D7_1232700.1 25
PF3D7_1234400.1 16
PF3D7_1234700.1 22
PF3D7_1236400.1 25
PF3D7_1236700.1 20
PF3D7_1236800.1 20
PF3D7_1237900.1 27
PF3D7_1239400.1 20
PF3D7_1241900.1 22
PF3D7_1242000.1 28
PF3D7_1242200.1 25
PF3D7_1245800.1 14
PF3D7_1246000.1 20
PF3D7_1247600.1 24
PF3D7_1247800.1 20
PF3D7_1248300.1 25
PF3D7_1248600.1 31
PF3D7_1249900.1 29
PF3D7_1250200.1 25
PF3D7_1251000.1 21
PF3D7_1252900.1 21
PF3D7_1253200.1 20
PF3D7_1253500.1 24
PF3D7_1301900.1 27
PF3D7_1302300.1 25
PF3D7_1304300.1 19
PF3D7_1310200.1 25
PF3D7_1310500.1 30
PF3D7_1312700.1 18
PF3D7_1314500.1 25
PF3D7_1315200.1 40
PF3D7_1316200.1 62
PF3D7_1316300.1 18
PF3D7_1316700.1 25
PF3D7_1318000.1 25
PF3D7_1319800.1 22
PF3D7_1319900.1 25
PF3D7_1321100.1 27
PF3D7_1321900.1 20
PF3D7_1322900.1 20
PF3D7_1324900.1 21
PF3D7_1327100.1 20
PF3D7_1330100.1 28
PF3D7_1330200.1 20
PF3D7_1331400.1 27
PF3D7_1331600.1 24
PF3D7_1332100.1 31
PF3D7_1333300.1 21
PF3D7_1336700.1 23
PF3D7_1338000.1 21
PF3D7_1338900.1 26
PF3D7_1340200.1 32
PF3D7_1340800.1 66
PF3D7_1344800.1 28
PF3D7_1347600.1 24
PF3D7_1349900.1 20
PF3D7_1350500.1 21
PF3D7_1350600.1 22
PF3D7_1351200.1 22
PF3D7_1351300.1 31
PF3D7_1351800.2 20
PF3D7_1352500.1 23
PF3D7_1352900.1 18
PF3D7_1353300.1 23
PF3D7_1354400.1 37
PF3D7_1358700.1 25
PF3D7_1360200.1 34
PF3D7_1360300.1 30
PF3D7_1363800.1 21
PF3D7_1366200.1 30
PF3D7_1366800.1 21
PF3D7_1367300.1 28
PF3D7_1367500.1 27
PF3D7_1367800.1 23
PF3D7_1367900.1 26
PF3D7_1368000.1 25
PF3D7_1371500.1 22
PF3D7_1371800.1 23
PF3D7_1371900.1 29
PF3D7_1372400.1 23
PF3D7_1401700.1 25
PF3D7_1403200.1 19
PF3D7_1404700.1 21
PF3D7_1404800.1 22
PF3D7_1409600.1 23
PF3D7_1410700.1 20
PF3D7_1411900.1 23
PF3D7_1412000.1 21
PF3D7_1416000.1 20
PF3D7_1416700.1 26
PF3D7_1420500.1 18
PF3D7_1421900.1 29
PF3D7_1427100.1 29
PF3D7_1429300.1 22
PF3D7_1429600.1 25
PF3D7_1431400.1 25
PF3D7_1434400.1 23
PF3D7_1436100.1 55
PF3D7_1439300.1 26
PF3D7_1442600.1 25
PF3D7_1443700.1 19
PF3D7_1445800.1 22
PF3D7_1446300.1 24
PF3D7_1447600.1 26
PF3D7_1451600.1 21
PF3D7_1453300.1 19
PF3D7_1453500.1 24
PF3D7_1455900.1 27
PF3D7_1458100.1 20
PF3D7_1459900.1 24
PF3D7_1460900.1 20
PF3D7_1460900.2 20
PF3D7_1461700.1 25
PF3D7_1462300.1 17
PF3D7_1463600.1 26
PF3D7_1465300.1 26
PF3D7_1465700.1 22
PF3D7_1466000.1 22
PF3D7_1466500.1 20
PF3D7_1467000.1 21
PF3D7_1467400.1 19
PF3D7_1471000.1 25
PF3D7_1472300.1 28
PF3D7_1473000.1 27
PF3D7_1476500.1 17
PF3D7_1478800.1 18
